subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,0,,,----------,elephant,elephant_2.wav,mask,word,elephant,elephant_1.wav,yes,timeout,1250.0,0
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,1,grasshopper:visual:yes:2,visual,Does it have legs?,grasshopper,grasshopper_2.wav,mask,prompt,,,yes,no,263.874653843,0
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,2,chicken:nonvisual:yes:2,nonvisual,Does it live on a farm?,chicken,chicken_1.wav,mask,prompt,,,yes,timeout,1250.0,0
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,3,lion:visual:yes:1,visual,Does it have a mane?,lion,lion_3.wav,mask,prompt,,,yes,yes,988.852647948,1
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,4,raccoon:nonvisual:yes:2,nonvisual,Is it furry?,raccoon,raccoon_3.wav,mask,prompt,,,yes,yes,112.155946437,1
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,5,chair:nonvisual:yes:4,nonvisual,Is it used for relaxing?,chair,chair_1.wav,nomask,prompt,,,yes,yes,453.615543433,1
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,6,apple:nonvisual:no:5,nonvisual,Is it used in experiments?,apple,apple_2.wav,nomask,prompt,,,no,no,129.2181873,1
PVW218a,218a,2015_Dec_04_0936,LL-George,0,practice,7,alligator:nonvisual:yes:2,nonvisual,Is it a reptile?,alligator,alligator_1.wav,nomask,prompt,,,yes,yes,144.029896124,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,9,table:visual:yes:3,visual,Does it have legs?,table,table_3.wav,nomask,prompt,,,yes,no,512.508362182,0
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,10,strawberry:visual:yes:2,visual,Does it have seeds?,strawberry,strawberry_4.wav,mask,prompt,,,yes,yes,156.178480596,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,11,pineapple:visual:yes:5,visual,Does it have a core?,pineapple,pineapple_1.wav,mask,prompt,,,yes,yes,114.904854097,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,12,giraffe:nonvisual:yes:3,nonvisual,Does it live in zoos?,giraffe,giraffe_3.wav,mask,prompt,,,yes,yes,823.289534776,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,13,camel:visual:yes:3,visual,Does it have legs?,camel,camel_1.wav,nomask,prompt,,,yes,yes,121.832178324,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,14,,,----------,apple,apple_4.wav,mask,word,apple,apple_2.wav,yes,yes,1176.30491499,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,15,chicken:nonvisual:yes:3,nonvisual,Does it eat grain?,chicken,chicken_1.wav,nomask,prompt,,,yes,no,871.391898603,0
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,16,swan:visual:no:2,visual,Does it have a tail?,swan,swan_3.wav,mask,prompt,,,no,yes,444.831714267,0
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,17,mouse:visual:yes:5,visual,Does it have a white tail?,mouse,mouse_2.wav,nomask,prompt,,,yes,no,538.586815586,0
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,18,donkey:nonvisual:no:3,nonvisual,Is it furniture?,donkey,donkey_4.wav,nomask,prompt,,,no,no,523.788550519,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,19,,,----------,pig,pig_4.wav,nomask,word,pig,pig_2.wav,yes,yes,912.05928009,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,20,,,----------,lion,lion_2.wav,nomask,word,lion,lion_1.wav,yes,yes,712.357601267,1
PVW218a,218a,2015_Dec_04_0936,LL-George,1,test,21,bottle:visual:no:4,visual,Does it have eyes?,bottle,bottle_2.wav,nomask,prompt,,,no,no,670.983467484,1
