row,question,question_slug,cue,correct_response,feat_type,proposition_id
1,Is it long?,is-it-long,alligator,yes,visual,alligator:visual:yes:2
2,Does it have scales?,does-it-have-scales,alligator,yes,visual,alligator:visual:yes:3
3,Does it have a tail?,does-it-have-a-tail,alligator,yes,visual,alligator:visual:yes:4
4,Does it have jaws?,does-it-have-jaws,alligator,yes,visual,alligator:visual:yes:5
5,Does it have a long tongue?,does-it-have-a-long-tongue,alligator,yes,visual,alligator:visual:yes:1
6,Is it an animal?,is-it-an-animal,alligator,yes,nonvisual,alligator:nonvisual:yes:1
7,Is it a reptile?,is-it-a-reptile,alligator,yes,nonvisual,alligator:nonvisual:yes:2
8,Does it live in swamps?,does-it-live-in-swamps,alligator,yes,nonvisual,alligator:nonvisual:yes:3
9,Does it live in water?,does-it-live-in-water,alligator,yes,nonvisual,alligator:nonvisual:yes:4
10,Does it eat people?,does-it-eat-people,alligator,yes,nonvisual,alligator:nonvisual:yes:5
11,Is it found in summer?,is-it-found-in-summer,alligator,yes,nonvisual,alligator:nonvisual:yes:6
12,Is it round?,is-it-round,apple,yes,visual,apple:visual:yes:4
13,Is it red?,is-it-red,apple,yes,visual,apple:visual:yes:1
14,Does it have seeds?,does-it-have-seeds,apple,yes,visual,apple:visual:yes:3
15,Does it have a core?,does-it-have-a-core,apple,yes,visual,apple:visual:yes:5
16,Is it a fruit?,is-it-a-fruit,apple,yes,nonvisual,apple:nonvisual:yes:1
17,Does it grow on trees?,does-it-grow-on-trees,apple,yes,nonvisual,apple:nonvisual:yes:2
18,Is it eaten in pies?,is-it-eaten-in-pies,apple,yes,nonvisual,apple:nonvisual:yes:3
19,Is it nutritious?,is-it-nutritious,apple,yes,nonvisual,apple:nonvisual:yes:4
20,Is it used for cider?,is-it-used-for-cider,apple,yes,nonvisual,apple:nonvisual:yes:5
21,Is it made of plastic?,is-it-made-of-plastic,bottle,yes,visual,bottle:visual:yes:2
22,Is it made of glass?,is-it-made-of-glass,bottle,yes,visual,bottle:visual:yes:1
23,Does it have a neck?,does-it-have-a-neck,bottle,yes,visual,bottle:visual:yes:4
24,Is it a container?,is-it-a-container,bottle,yes,nonvisual,bottle:nonvisual:yes:3
25,Is it used for holding things?,is-it-used-for-holding-things,bottle,yes,nonvisual,bottle:nonvisual:yes:1
26,Is it used for holding liquids?,is-it-used-for-holding-liquids,bottle,yes,nonvisual,bottle:nonvisual:yes:2
27,Is it breakable?,is-it-breakable,bottle,yes,nonvisual,bottle:nonvisual:yes:4
